date,day_week,special_event,6_week_lun,6_week_din,lun_ly,din_ly,din_2y,pred_lunch,pred_din,lunch_sales,dinner_sales,guest_count_lunch,guest_count_dinner,ppl_res_lun,ppl_res_din,temp_avg
3/24/2018,Saturday,OSU Baseball @ 1:30,114,412,51,340,,60,300,1561.17,5155.16,88,280,8,53,41
3/25/2018,Sunday,OSU BASEBALL @ 3,103,256,91,324,,90,300,1925.61,5147.94,120,296,8,68,46
3/26/2018,Monday,OSU Spring Break,61,184,59,155,,50,150,805.76,3068.89,61,168,0,18,43
3/27/2018,Tuesday,OSU Spring Break,53,163,73,199,,50,150,951.08,2874.06,74,168,0,15,52
3/28/2018,Wednesday,OSU Spring Break,69,239,70,188,,50,150,960.3,3490.8,67,210,0,20,51
3/29/2018,Thursday,OSU Spring Break,53,213,81,206,,55,170,974.97,3849.31,79,226,0,53,49
3/30/2018,Friday,OSU Spring Break,68,351,76,344,,70,375,1289.51,4616.59,91,264,0,41,50
3/31/2018,Saturday,OSU Spring Break,114,412,81,308,,60,300,1435.12,4795.98,83,274,15,28,55
4/1/2018,Sunday,Easter Sunday,103,256,114,239,,160,210,,,178,243,82,49,44
4/2/2018,Monday,OSU Baseball 6:35 pm,61,184,42,145,,50,160,,,40,154,0,11,45
4/3/2018,Tuesday,OSU Baseball 5:35pm,53,163,43,274,,50,170,,,65,150,2,20,44
4/4/2018,Wednesday,,61,190,40,177,,50,180,,,37,219,2,11,55
4/5/2018,Thursday,,53,213,83,203,,70,200,,,44,208,0,31,51
4/6/2018,Friday,OSU Softball/,68,351,107,385,,90,375,,,80,351,17,93,63
4/7/2018,Saturday,OSU Softball TBD,114,412,78,413,,100,425,,,77,323,5,81,55
4/8/2018,Sunday,OSU Softball 12:00pm,103,256,106,304,,110,260,,,128,286,6,13,52
4/9/2018,Monday,,61,184,67,216,,55,160,,,79,144,20,15,53
4/10/2018,Tuesday,,53,163,61,228,,55,170,,,45,192,20,43,57
4/11/2018,Wednesday,,61,190,49,204,,55,170,,,60,181,0,22,52
4/12/2018,Thursday,,53,213,79,242,,60,200,,,83,208,8,16,46
4/13/2018,Friday,,68,351,64,325,,70,350,,,74,400,0,81,51
4/14/2018,Saturday,1st Saturday Market,114,412,83,331,,100,350,,,73,411,0,122,55
4/15/2018,Sunday,(Last Year Easter),103,256,136,205,,100,260,,,138,279,4,25,49
4/16/2018,Monday,,61,184,53,120,,50,160,,,53,180,0,31,46
4/17/2018,Tuesday,OSU Softball 1:00pm,53,163,61,150,,60,160,,,49,223,0,34,49
4/18/2018,Wednesday,,61,190,56,194,,60,190,,,45,174,0,12,51
4/19/2018,Thursday,OSU Baseball (Civil War) 6:00pm,53,213,85,261,,70,200,,,73,221,7,22,52
4/20/2018,Friday,Swim Meet/ OSU Baseball (Civil War)4:00pm/OSU Softball 2:00pm/E&M school early release,68,351,59,367,,100,400,,,59,423,0,80,53
4/21/2018,Saturday,Swim Meet/ OSU Baseball (Civil War)4:00pm/OSU Softball 12:00pm/Saturday Market,114,412,91,448,,120,450,,,102,359,4,151,56
