"","dates","the_old_spaghetti_factory","spaghetti_factory","spaghetti_factory_corvallis","old_spaghetti_factory","italian_food","dinner_near_me","trolley_restaurant","dine_in","Pastinis"
"1",2018-03-04,0,0.00392591253468711,0,0.00196295626734356,0.00392591253468711,0,0,0,0
"2",2018-03-11,0.00241361816250482,0.00482723632500964,0,0.00482723632500964,0.00241361816250482,0.00241361816250482,0,0,0
"3",2018-03-18,0.00178761533155891,0.00536284599467674,0,0.00178761533155891,0.00178761533155891,0,0,0,0
"4",2018-03-25,0.00175654320886076,0.00351308641772151,0,0.00175654320886076,0.00175654320886076,0.00175654320886076,0,0,0
"5",2018-04-01,0.00198534236066381,0.00595602708199142,0,0.00198534236066381,0.00198534236066381,0.00198534236066381,0,0.00198534236066381,0
"6",2018-04-08,0.00227802432225644,0.00911209728902576,0,0.00455604864451288,0.00455604864451288,0.00227802432225644,0,0,0
"7",2018-04-15,0,0.00469126913103138,0,0.00312751275402092,0.00156375637701046,0.00156375637701046,0,0,0
"8",2018-04-22,0.00181290018606454,0.00725160074425815,0,0.00362580037212907,0.00181290018606454,0.00181290018606454,0,0,0.00181290018606454
"9",2018-04-29,0.00181194317146333,0.00543582951438999,0,0.00362388634292666,0.00181194317146333,0.00181194317146333,0,0.00181194317146333,0
"10",2018-05-06,0.00165605255411224,0.00662421021644897,0.00165605255411224,0.00331210510822448,0.00165605255411224,0.00165605255411224,0,0,0
"11",2018-05-13,0.00208391455017154,0.00416782910034309,0,0.00208391455017154,0.00208391455017154,0.00208391455017154,0,0,0
"12",2018-05-20,0.00280630041469452,0.00841890124408355,0,0.00280630041469452,0.00280630041469452,0.00280630041469452,0,0,0
"13",2018-05-27,0.0020714843562405,0.00621445306872149,0.0020714843562405,0.0020714843562405,0.0020714843562405,0.0020714843562405,0,0,0
"14",2018-06-03,0,0.00411548806249769,0,0.00205774403124885,0.00205774403124885,0.00205774403124885,0,0.00205774403124885,0
"15",2018-06-10,0,0.00527142264411561,0,0.00175714088137187,0.00175714088137187,0.00175714088137187,0,0,0
"16",2018-06-17,0,0.00600905979052144,0,0.00400603986034763,0.00400603986034763,0.00200301993017381,0,0,0
"17",2018-06-24,0,0.00530674064124057,0,0.00176891354708019,0.00176891354708019,0.00176891354708019,0,0,0.00176891354708019
"18",2018-07-01,0,0.00370218333831582,0,0.00185109166915791,0.00370218333831582,0.00185109166915791,0,0,0
"19",2018-07-08,0,0.00421250533287491,0,0.00210625266643745,0.00421250533287491,0.00210625266643745,0,0,0
"20",2018-07-15,0,0.00587697406729224,0,0.00195899135576408,0.00391798271152816,0.00195899135576408,0,0,0
"21",2018-07-22,0,0.00602510505000095,0,0.00200836835000032,0.00200836835000032,0.00200836835000032,0,0.00200836835000032,0
"22",2018-07-29,0.0022222168469985,0.00666665054099549,0,0.0022222168469985,0.00666665054099549,0.0022222168469985,0,0.0022222168469985,0
"23",2018-08-05,0,0.00554407651170633,0,0.00184802550390211,0.00184802550390211,0.00184802550390211,0,0,0
"24",2018-08-12,0,0.00577049947046828,0,0.00384699964697885,0.00384699964697885,0.00192349982348943,0,0,0
"25",2018-08-19,0,0.00703868925092687,0,0.00351934462546343,0.00527901693819515,0.00351934462546343,0,0,0
"26",2018-08-26,0,0.00431561999390366,0,0.00215780999695183,0.00215780999695183,0.00215780999695183,0,0,0
"27",2018-09-02,0,0.00395120437003011,0,0.00197560218501506,0.00395120437003011,0.00395120437003011,0,0.00197560218501506,0
"28",2018-09-09,0.00186887011478674,0.00747548045914695,0,0.00373774022957348,0.00373774022957348,0.00186887011478674,0,0,0
"29",2018-09-16,0,0.00642948718483235,0,0.00214316239494412,0.00428632478988823,0.00214316239494412,0,0,0
"30",2018-09-23,0.00180492883738428,0.00541478651215284,0,0.00180492883738428,0.00360985767476856,0.00180492883738428,0,0.00180492883738428,0
"31",2018-09-30,0.00167131108186993,0.00334262216373987,0,0.00334262216373987,0.00167131108186993,0.00167131108186993,0,0,0
"32",2018-10-07,0,0.00551829240387267,0,0.00367886160258178,0.00367886160258178,0.00183943080129089,0,0,0
"33",2018-10-14,0.00181336548875901,0.00544009646627703,0,0.00362673097751802,0.00362673097751802,0.00181336548875901,0,0,0
"34",2018-10-21,0,0.00452137498278588,0,0.00226068749139294,0.00452137498278588,0.00226068749139294,0,0,0
"35",2018-10-28,0.002143156433268,0.00642946929980401,0,0.00428631286653601,0.00428631286653601,0.00428631286653601,0,0,0
"36",2018-11-04,0.00190202934998046,0.00760811739992185,0.00190202934998046,0.00380405869996092,0.00190202934998046,0.00380405869996092,0,0,0
"37",2018-11-11,0,0.00358080288667879,0,0.0017904014433394,0.00537120433001819,0.00358080288667879,0,0,0
"38",2018-11-18,0.00185172300825666,0.00555516902476997,0.00185172300825666,0.00370344601651331,0.00370344601651331,0.00370344601651331,0,0,0.00185172300825666
"39",2018-11-25,0,0.00667952048189482,0,0.00445301365459655,0.00222650682729827,0.00222650682729827,0,0,0
"40",2018-12-02,0,0.00533617926106363,0,0.00355745284070909,0.00177872642035454,0.00177872642035454,0,0,0
"41",2018-12-09,0,0.00892423477126583,0.00223105869281646,0.00446211738563292,0.00446211738563292,0.00223105869281646,0,0.00223105869281646,0
"42",2018-12-16,0,0.00909782095101445,0,0.00227445523775361,0.00454891047550723,0.00227445523775361,0,0,0.00227445523775361
"43",2018-12-23,0,0.00882089617660877,0,0.00441044808830439,0.00441044808830439,0.00220522404415219,0,0,0
